Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,x var,,6,31,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A40-12S V2 8 pole,1350,900,,8,1.9,17,208,42,41.7,5,1751.4,73033.38,2364390,98595063,2.6616E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-16S V2 8 pole,1000,900,,8,1.3,30,208,42,41.7,5,1751.4,73033.38,1751400,73033380,3.59316E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-10L V2 14 pole,500,1100,,14,1.7,18,272,52,41.7,5,2168.4,90422.28,1084200,45211140,3.76221E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-10L V2 8 pole,1100,1100,,8,1.7,19,272,52,41.7,5,2168.4,90422.28,2385240,99464508,1.71009E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-12L V2 14 pole,410,1100,,14,1.5,25,272,52,41.7,5,2168.4,90422.28,889044,37073134.8,4.58806E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-14L V2 14 pole,355,1100,,14,1.1,32,272,52,41.7,5,2168.4,90422.28,769782,32099909.4,5.29888E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-8L V2 8 pole,1300,1100,,8,2.5,14,272,52,41.7,5,2168.4,90422.28,2818920,117548964,1.447E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40-14S V2 14 pole,530,900,,14,1.4,21,208,42,41.7,5,1751.4,73033.38,928242,38707691.4,6.77955E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14 XS V3,520,1100,12000,14,1.5,18,289,47,48.7,6,2288.9,111469.43,1190228,57964103.6,3.77827E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-12 S V4,480,1250,12000,14,1.8,16,345,52,48.7,6,2532.4,123327.88,1215552,59197382.4,3.06298E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14 S V3,425,1250,12000,14,1.5,21,345,52,48.7,6,2532.4,123327.88,1076270,52414349,3.45937E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-16 S V3,365,1250,12000,14,1.4,26,345,52,48.7,6,2532.4,123327.88,924326,45014676.2,4.02803E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-6S Turnado V3,1100,2800,,10,5.1,7,348,51,51.5,6,2626.5,135264.75,2889150,148791225,1.91459E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-8S Turnado V3,850,2800,,10,4.1,9,348,51,51.5,6,2626.5,135264.75,2232525,114975037.5,2.47771E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-10L Turnado V3,530,4500,,10,1.9,15,455,61,51.5,6,3141.5,161787.25,1664995,85747242.5,2.69192E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-12 L V3,355,1650,9000,14,1.5,21,445,62,48.7,6,3019.4,147044.78,1071887,52200896.9,2.5709E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14 L V3,300,1650,9000,14,1,25,445,62,48.7,6,3019.4,147044.78,905820,44113434,3.04223E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-14L Turnado V3,400,4500,,10,1.1,26,455,61,51.5,6,3141.5,161787.25,1256600,64714900,3.56679E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-16 L V3,265,1650,9000,14,1,31,445,62,48.7,6,3019.4,147044.78,800141,38966866.7,3.44403E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50-12L Turnado V3,450,4500,,10,1.2,19,455,61,51.5,6,3141.5,161787.25,1413675,72804262.5,3.17048E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-5XS V4 28 pole,420,1900,9000,28,2.4,12,480,60,52,8,3120,162240,1310400,68140800,2.29399E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-6XS V4 28 pole,270,1900,9000,28,2.4,12,480,60,52,8,3120,162240,842400,43804800,3.56843E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-7XS V4 28 pole,320,2800,9000,28,2.4,12,480,60,52,8,3120,162240,998400,51916800,3.65505E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
