Company,Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,,,
Scorpion,Scorpion SII-2215-1810KV (V2),1810,370,,,1.35,31,68,33,27.9,8.24224E-05,,
Scorpion,Scorpion SII-2215-1400KV (V2),1400,518,,,0.95,95,68,33,27.9,8.03323E-05,,
Scorpion,Scorpion SII-3008-1090KV (V2),1090,370,,,0.79,58,95,33.75,37.5,4.2404E-05,,
Scorpion,Scorpion SII-3008-1220KV (V2),1220,425,,,0.97,42,95,33.75,37.5,4.28844E-05,,
Scorpion,Scorpion SII-3014-830KV (V2),830,550,,,1.06,42,129,39.75,37.5,3.50355E-05,,
Scorpion,Scorpion SII-3014-1040KV (V2),1040,600,,,1.35,26,129,39.75,37.5,3.58347E-05,,
Scorpion,Scorpion SII-3014-1220KV (V2),1220,640,,,1.64,18,129,39.75,37.5,3.64113E-05,,
Scorpion,Scorpion SII-3020-780KV (V2),780,800,,,1.21,30,166,45.75,37.5,3.02521E-05,,
Scorpion,Scorpion SII-3020-890KV (V2),890,780,,,1.42,20,166,45.75,37.5,3.06539E-05,,
Scorpion,Scorpion SII-3020-1110KV (V2),1110,840,,,2.08,16,166,45.75,37.5,3.13385E-05,,
Scorpion,Turbax Conversion Kit w/ HK4035-800,800,4200,,,2.5,10,574,61.5,48.9,1.32683E-05,,
Scorpion,Scorpion SII-3026-710KV (V2),710,1000,,,1.56,22,205,51.75,37.5,2.64943E-05,,
Scorpion,Scorpion SII-3026-890KV (V2),890,1025,,,1.9,14,205,51.75,37.5,2.70998E-05,,
Scorpion,Scorpion SII-3026-1190KV (V2),1190,1050,,,3.26,8,205,51.75,37.5,2.78986E-05,,
Scorpion,Scorpion SII-4020-420KV,420,1500,,,0.91,32,288,46.15,48.9,1.65781E-05,,
Scorpion,Scorpion SII-4020-540KV,540,1850,,,1.22,20,288,46.15,48.9,1.7E-05,,
Scorpion,Scorpion SII-4020-630KV,630,1500,,,1.54,15,288,46.15,48.9,1.72641E-05,,
Scorpion,Scorpion SII-4025-330KV,330,2000,,,0.74,37,353,54.1,48.9,1.3805E-05,,
Scorpion,Scorpion SII-4025-440KV,440,2000,,,1.1,25,353,54.1,48.9,1.42079E-05,,
Scorpion,Scorpion SII-4025-520KV,520,2000,,,1.4,16,353,54.1,48.9,1.44473E-05,,
Scorpion,Scorpion SII-3032-690KV (V2),690,1025,,,2.71,22,275,62.5,37.5,2.18747E-05,,
Scorpion,Scorpion SII-3032-880KV (V2),880,1050,,,3.12,12,275,62.5,37.5,2.24133E-05,,
Scorpion,Scorpion SII-4035-250KV,250,2700,,,0.69,37,450,64.9,48.8,1.12385E-05,,
Scorpion,Scorpion SII-4035-330KV,330,2400,,,1.41,31,435,64.9,48.8,1.15549E-05,,
Scorpion,Scorpion SII-4035-380KV,380,2600,,,1.52,25,435,64.9,48.8,1.17191E-05,,
Scorpion,Scorpion SII-4035-450KV,450,2960,,,1.71,26,435,64.9,48.8,1.19189E-05,,
Scorpion,Scorpion SII-5525-170KV,170,2450,,,0.78,42,708,59.82,66.4,6.33669E-06,,
Scorpion,Scorpion SII-5525-210KV,210,3150,,,1.11,26,708,59.82,66.4,6.47201E-06,,
Scorpion,Scorpion SII-5525-195KV,195,2800,,,0.88,34,708,59.82,66.4,6.42423E-06,,
Scorpion,Scorpion S-5028-220KV (F3A Limited Series),220,2590,,,0.98,32,576,60,59.8,7.99261E-06,,
Scorpion,Scorpion SII-5535-160KV,160,3750,,,1.11,27,906,69.52,66.4,5.41959E-06,,
Scorpion,Scorpion SII-5535-190KV,190,3900,,,1.24,22,906,69.52,66.4,5.51353E-06,,
Scorpion,Scorpion SII-6530-180KV,180,4884,,,1.26,22,1043,70.4,76.6,4.06909E-06,,
Scorpion,Scorpion SII-6530-150KV,150,4220,,,1.15,32,1043,70.4,76.6,3.99557E-06,,
